,sprint,status,pontos,mes
0,DEV ABRIL/22 - 4,executado,36.5,28
71,SPT-ABRIL - 3,planejado,71.5,28
70,SPT-ABRIL - 3,executado,53.5,28
69,SPT-ABRIL - 2,planejado,33.0,28
68,SPT-ABRIL - 2,executado,33.0,28
67,SPT-ABRIL - 1,planejado,38.5,28
66,SPT-ABRIL - 1,executado,38.5,28
72,SPT-MAR - 2,executado,34.0,28
73,SPT-MAR - 2,planejado,34.0,28
1,DEV ABRIL/22 - 4,planejado,64.5,28
36,DEV MAIO/22 - 3,executado,65.0,35
38,DEV MAIO/22 - 4,executado,55.0,35
37,DEV MAIO/22 - 3,planejado,48.0,35
35,DEV MAIO/22 - 2,planejado,79.5,35
34,DEV MAIO/22 - 2,executado,53.5,35
33,DEV MAIO/22 - 1,planejado,57.5,35
32,DEV MAIO/22 - 1,executado,43.0,35
23,DEV JUN/22 - 1,planejado,39.0,35
39,DEV MAIO/22 - 4,planejado,58.5,35
31,DEV JUN/22 - 5,planejado,62.0,42
29,DEV JUN/22 - 4,planejado,61.0,42
28,DEV JUN/22 - 4,executado,43.5,42
27,DEV JUN/22 - 3,planejado,54.5,42
26,DEV JUN/22 - 3,executado,46.5,42
25,DEV JUN/22 - 2,planejado,47.5,42
24,DEV JUN/22 - 2,executado,49.0,42
22,DEV JUN/22 - 1,executado,34.5,42
21,DEV JUL/22 - 4,planejado,64.5,49
20,DEV JUL/22 - 4,executado,51.0,49
19,DEV JUL/22 - 3,planejado,73.0,49
18,DEV JUL/22 - 3,executado,52.5,49
30,DEV JUN/22 - 5,executado,56.5,49
17,DEV JUL/22 - 2,planejado,70.5,49
16,DEV JUL/22 - 2,executado,56.0,49
15,DEV JUL/22 - 1,planejado,60.0,49
14,DEV JUL/22 - 1,executado,71.5,49
4,DEV AGO/22 - 3,executado,20.0,56
5,DEV AGO/22 - 3,planejado,54.0,56
3,DEV AGO/22 - 2,planejado,64.5,56
2,DEV AGO/22 - 2,executado,32.0,56
6,DEV AGO/22 - 4,executado,60.5,56
9,DEV AGO/22 - 5,planejado,61.0,56
10,DEV AGO/22 -1,executado,41.0,56
11,DEV AGO/22 -1,planejado,70.5,56
7,DEV AGO/22 - 4,planejado,43.5,56
62,DEV SET/22 - 3,executado,38.5,63
60,DEV SET/22 - 2,executado,43.5,63
65,DEV SET/22 -3,planejado,47.0,63
64,DEV SET/22 - 4,planejado,46.0,63
63,DEV SET/22 - 4,executado,26.0,63
59,DEV SET/22 - 1,planejado,56.5,63
58,DEV SET/22 - 1,executado,24.5,63
61,DEV SET/22 - 2,planejado,56.0,63
8,DEV AGO/22 - 5,executado,25.5,63
56,DEV OUT/22 - 4,executado,39.5,70
57,DEV OUT/22 - 4,planejado,28.0,70
54,DEV OUT/22 - 3,executado,40.5,70
53,DEV OUT/22 - 2,planejado,28.5,70
51,DEV OUT/22 - 1,planejado,37.5,70
50,DEV OUT/22 - 1,executado,47.0,70
55,DEV OUT/22 - 3,planejado,36.5,70
52,DEV OUT/22 - 2,executado,30.5,70
40,DEV NOV/22 - 1,executado,18.5,77
42,DEV NOV/22 - 2,executado,30.5,77
47,DEV NOV/22 - 4,planejado,21.5,77
46,DEV NOV/22 - 4,executado,36.5,77
45,DEV NOV/22 - 3,planejado,25.5,77
44,DEV NOV/22 - 3,executado,20.5,77
43,DEV NOV/22 - 2,planejado,31.5,77
41,DEV NOV/22 - 1,planejado,35.0,77
48,DEV NOV/22 - 5,executado,22.5,84
13,DEV DEZ/22 - 1,planejado,0.0,84
12,DEV DEZ/22 - 1,executado,17.0,84
49,DEV NOV/22 - 5,planejado,27.5,84
